STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,s_adj,Seasonal adjustment,age,Age class,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,ES,Spain,2005-01,,10.4,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,ES,Spain,2005-02,,10.2,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,ES,Spain,2005-03,,10.0,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,ES,Spain,2005-04,,9.8,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,ES,Spain,2005-05,,9.3,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,ES,Spain,2005-06,,8.9,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,ES,Spain,2005-07,,8.5,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,ES,Spain,2005-08,,8.4,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,ES,Spain,2005-09,,8.3,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,ES,Spain,2005-10,,8.6,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,ES,Spain,2005-11,,8.8,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,ES,Spain,2005-12,,8.8,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,ES,Spain,2006-01,,9.0,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,ES,Spain,2006-02,,9.1,,,,,
